"Add to Wish List", "Favorites"
"Wishlist","Favorites"
"Move to Wish List","Move"
"Copy to Wish List","Copy"
"Move Selected to Wish List", "Move Selected"
"Copy Selected to Wish List", "Copy Selected"
"%1 items in wish list", "%1 items"
"1 item in wish list", "1 item"
"My Wish List","My Favorites"
"Update Wish List","Update Favorites"
"Share Wish List","Share Favorites"
"Move to Wishlist","Move to Favorites"
"Wish List Sharing","Favorites Sharing"
"%1 has been added to your Wish List.","%1 has been added to your Favorites."
"Your wish list has been shared.","Your Favorites has been shared."
"Wish List","Favorites"
"We can't add the item to Wish List right now: %1.","We can't add the item to Favorites right now: %1."
"We can't add the item to Wish List right now.","We can't add the item to Favorites right now."
"We can't load the Wish List item right now.","We can't load the Favorites item right now."
"%1 has been moved to your wish list.","%1 has been moved to your Favorites."
"We can't move the item to the wish list.","We can't move the item to the Favorites."
"We can't delete the item from Wish List right now because of an error: %1.","We can't delete the item from Favorites right now because of an error: %1."
"We can't delete the item from the Wish List right now.","We can't delete the item from the Favorites right now."
"This wish list can be shared %1 more times.","This Favorites can be shared %1 more times."
"Your wish list has been shared.","Your favorites has been shared."
"We can't delete item from Wish List right now.","We can't delete item from Favorites right now."
"Can't update wish list","Can't update favorites"
"%1 has been updated in your Wish List.","%1 has been updated in your Favorites."
"We can't update your Wish List right now.","We can't update your Favorites right now."
"The requested Wish List doesn't exist.","The requested Favorites doesn't exist."
"We can't create the Wish List right now.","We can't create the Favorites right now."
"Display number of items in wish list","Display number of items in Favorites"
"We can't specify a wish list.","We can't specify a Favorites."
"We can't update the Wish List right now.","We can't update the Favorites right now."
"We cannot retrieve the Wish List.","We cannot retrieve the Favorites."
"%1's Wishlist","%1's Favorites"
"We can't specify a wish list item.","We can't specify a Favorites item."
"Update Wish List","Update Favorites"
"Add to Wish List","Add to Favorites"
"This Wish List has no Items","This Favorites has no Items"
"%1 has been added to your Wish List.","%1 has been added to your Favorites."
"Wish List is empty now.","Favorites is empty now."
"Check here to link an RSS feed to your Wish List.","Check here to link an RSS feed to your Favorites."
"Go to Wish List","Go to Favorites"
"You have no items in your wish list.","You have no items in your Favorites."
"Take a look at %customer_name's Wish List","Take a look at %customer_name's Favorites"
"%customer_name wants to share this Wish List from %store_name with you:","%customer_name wants to share this Favorites from %store_name with you:"
"View all Wish List items","View all Favorites items"
"Wish List Section","Favorites Section"
"My Wish List Link","My Favorites Link"
"Display Wish List Summary","Display Favorites Summary"
"Days in Wish List","Days in Favorites"
"%1 has been moved to your wish list.","%1 has been moved to your favorites."
"You have no items in your wish list.","You have no items in your Favorites."
"Move to Wishlist","Move to Favorites"
